ひきだす,[引き出す],9
しそう,[思想],9
おそろしい,[恐ろしい],9
あくよう,[悪用],9
じょうほう,[情報],9
こせき ,[戸籍],9
とうし,[投資],9
ほうほう,[方法],9
きがする,[気がする],9
きぶん,[気分],9
きみがわるい,[気味が悪い],9
かんり,[管理],9
くわしい,[詳しい],9
ざいさん,[財産],9
せきにん,[責任],9
すすむ。,[進む],9
いでんし,[遺伝子],9
よきん,[預金],9
からといって,[〜からといって],10
どころか,[〜どころか],10
わけにはいかない,[〜わけにはいかない],10
いらいら,[],10
かえって,[],10
きらう,[],10
しばらく,[],10
すっかり,[],10
もうすぐ,[],10
ことに,[～ことに],10
につれて,[～につれて],10
ふべん,[不便],10
ふめい,[不明],10
なくす,[亡くす],10
いぜん,[以前],10
よゆう,[余裕],10
しゅっちょう,[出張],10
げんいん,[原因],10
とりかかる,[取りかかる],10
くちかず,[口数],10
ゆいいつ,[唯一],10
はずれる,[外れる],10
がいしゅつ,[外出],10
ていねん,[定年],10
ひっこむ,[引っ込む],10
おもいで,[思い出],10
いしき,[意識],10
ふりまわす,[振り回す],10
かいがい,[海外],10
えん,[縁],10
みみにのこる,[耳に残る],10
こしをあげる,[腰を上げる],10
かたりかける,[語りかける],10
おこる,[起こる],10
おう,[追う],10
まにあう,[間に合う],10
うえで,[（～た）上で],11
さえ,[],11
ふさわしい,[],11
ざるをえない,[～ざるを得ない],11
しろ,[～にしろ～にしろ],11
にしろ,[～にしろ～にしろ],11
おたがい,[お互い],11
いちにんまえ,[一人前],11
うえにたつ,[上に立つ],11
じょうげ,[上下],11
じょうし,[上司],11
かわす,[交わす],11
せいど,[制度],11
きびしい,[厳しい],11
はんえい,[反映],11
はんぱつをかう,[反発を買う],11
とりたてる,[取り立てる],11
うけいれる,[受け入れる],11
くちをきく,[口を利く],11
ば,[場],11
うしなう,[失う],11
びょうどう,[平等],11
はいし,[廃止],11
かげをひそめる,[影をひそめる],11
やくわり,[役割],11
いきがつまる,[息がつまる],11
あつかう,[扱う],11
めいかく,[明確],11
かんげい,[歓迎],11
きやすい,[気安い],11
きらく,[気楽],11
む,[無（責任）],11
むせきにん,[無責任],11
うみだす,[生み出す],11
しんけん,[真剣],11
かくにん,[確認],11
きずく,[築く],11
けっか,[結果],11
そだてる,[育てる],11
しぜん,[自然],11
みぶん,[身分],11
ぶか,[部下],11
がわり,[（あいさつ）代わり],12
いいかげん,[],12
こる,[],12
ストレス,[],12
のんき,[],12
リーダーシップ,[],12
ルール,[],12
わがまま,[],12
というのも,[～というのも],12
はというと,[～はというと],12
とおり,[～通り],12
いっけん,[一見],12
あたえる,[与える],12
にんき,[人気],12
なにごと,[何事],12
けいこう,[傾向],12
ぜんたい,[全体],12
てんけいてき,[典型的],12
れいせい,[冷静],12
わける,[分ける],12
いんしょう,[印象],12
はんろん,[反論],12
くちにする,[口にする],12
やわらげる,[和らげる],12
じつは,[実は],12
きゃっかんてき,[客観的],12
せいかく,[性格],12
いがい,[意外],12
しんちょう,[慎重],12
こんきょ,[根拠],12
らくてんてき,[楽天的],12
さまざま,[様々],12
きがつよい,[気が強い],12
きまぐれ,[気まぐれ],12
まんいん,[満員],12
ものごと,[物事],12
かがくてき,[科学的],12
けつえき,[血液],12
こうどう,[行動],12
おもんじる,[重んじる],12
がてら,[〜がてら],13
まま,[〜まま],13
あまり,[（10年）余り],13
きる,[（乾き）切る],13
まみれ,[（汗）まみれ],13
うなずく,[],13
きっかけ,[],13
ごくごく（と）,[],13
ねだる,[],13
ふう,[],13
ふと,[],13
もっとも,[],13
ゆかた,[],13
ゆったり(と),[],13
ようやく,[],13
ことだから,[～のことだから],13
のことだから,[～のことだから],13
べき,[～べき],13
のどをならす,[のどを鳴らす],13
いっしゅん,[一瞬],13
かわききる,[乾き切る],13
よびだす,[呼び出す],13
こえがする,[声がする],13
ゆうすずみ,[夕涼み],13
きたく,[帰宅],13
とうじ,[当時],13
える,[得る],13
おもいだす,[思い出す],13
うちあげ,[打ち上げ],13
うちあげる,[打ち上げる],13
ぬく,[抜く],13
しじ,[指示],13
くらやみ,[暗やみ],13
きげんがいい,[機嫌がいい],13
せいかく,[正確],13
あせまみれ,[汗まみれ],13
いきかえる,[生き返る ],13
ながめる,[眺める],13
しゅんかん,[瞬間],13
こしをおろす,[腰を下ろす],13
はなび,[花火],13
みつめる,[見つめる],13
みあわせる,[見合わせる],13
かいほう,[解放],13
あたり,[辺り],13
とおりがかり,[通りがかり],13
とおりがかる,[通りがかる],13
れんそう,[連想],13
ひ,[陽],13
にもかかわらず,[〜にもかかわらず],14
うえで,[（～る）上で],14
ご,[（数時間）後],14
なおす,[（見）直す],14
あわてる,[],14
いのる,[],14
うばう,[],14
かけがえのない,[],14
したがう,[],14
てるてるほうず,[],14
とける,[],14
なくてはならない,[],14
めずらしい,[],14
よごす,[],14
とともに,[～とともに],14
ともに,[～とともに],14
しだい,[～次第],14
よそく,[予測],14
しゅうかく,[収穫],14
かく,[各（地）],14
かくち,[各地],14
むき,[向き],14
むく,[向く],14
いのち,[命],14
いとなみ,[営み],14
いとなむ,[営む],14
ゆうやけ,[夕焼け],14
ひきおこす,[引き起こす],14
あてになる,[当てになる],14
てにおえない,[手におえない],14
すう,[数（時間）],14
ひどり,[日取り],14
じき,[時期],14
きしょう,[気象],14
ほうそく,[法則],14
こうずい,[洪水],14
ながれ,[流れ],14
ながれる,[流れる],14
かかせない,[父かせない],14
いじょう,[異常],14
かみ,[神],14
みなおす,[見直す],14
かんさつ,[観察],14
かんそく,[観測],14
いいつたえ,[言い伝え],14
いいつたえる,[言い伝える],14
のうさぎょう,[農作業],14
しんぽ,[進歩],14
まわる,[（歩き）回る],15
げ,[（自慢）気],15
あわせる,[（話を）合わせる],15
しゃ,[（講演）著],15
おかしい,[],15
さすが,[],15
ショック,[],15
そういえば,[],15
テーマ,[],15
ベストセラー,[],15
まとめる,[],15
わけがない,[～わけがない],15
はじめ,[～をはじめ],15
をはじめ,[～をはじめ],15
いいきになる,[いい気になる],15
ふれあい,[ふれ合い],15
ふれあう,[ふれ合う],15
ものがみえる,[ものが見える],15
ひとこと,[一言],15
なにげない,[何気ない],15
いらい,[依頼],15
ぼうとう,[冒頭],15
であう,[出会う],15
なごむ,[和む],15
といかけ,[問いかけ],15
といかける,[問いかける],15
かえる,[変える],15
おもわず,[思わず],15
はずかしい,[恥ずかしい],15
かんしん,[感],15
はくしゅ,[拍手],15
